round_id,source_id_candidate,venue_or_area,district_or_area,source_title,url,source_date,source_class,rule_position,rule_dimensions,evidence_summary,geo_level,model_use_recommendation,claim_boundary,source_grounding,access_date,contains_personal_data,social_media_excluded,promotion_status
round1_liminal_venue_verification,RME_001,沙井京基百纳广场,宝安区,深圳商业空间再升级 沙井京基百纳屋顶萌宠乐园开园迎客,https://www.sznews.com/news/content/mb/2025-07/28/content_31643545.htm,2025-07-28,C_reported_operator_detail,explicit_positive_zoned_facility,pet_friendly_elevator|entry_norms|pet_park|waste_bins|stroller_rental|pet_member_services,"Reports that the mall upgraded from allowing pets to a dedicated rooftop pet park, with pet-friendly elevator routing, entry norms and facilities.",venue,candidate_for_operator_confirmation,Can support a supplemental case unless operator page or archived mall notice is verified.,public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round1_liminal_venue_verification,RME_002,沙井京基百纳广场,宝安区,深圳再添一处宠物友好商场,https://difang.gmw.cn/sz/2024-09/04/content_37542475.htm,2024-09-04,C_reported_operator_detail,explicit_positive_with_conditions,leash_length_1_5m|height_under_40cm|indoor_access|all_merchants_accept|pet_elevator|stroller_rental,"Reports entry signs, leash and size conditions, indoor access, pet supplies, pet elevator and stroller rental.",venue,candidate_for_operator_confirmation,"Strong reported details, but main-model upgrade needs mall/operator page or archived notice.",public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round1_liminal_venue_verification,RME_003,深圳星河WORLD COCO Park / 深圳龙华星河COCO City,龙岗区|龙华区,E-STAR COMMERCIAL pet-friendly commercial space practice,https://en.g-cre.com/responsibility/inner/849,2021-08-01,B_operator_primary,explicit_positive_with_conditions,registered_dogs_or_cats|carrier_or_stroller|marked_pet_friendly_stores_only|pet_friendly_map|100sqm_pet_park,"Operator describes Shenzhen pilot malls, a pet-friendly covenant, marked pet-friendly stores, pet maps, rental supplies and a 100 sqm facility in Longhua COCO City.",operator_network_venue,eligible_for_semantic_rule_alignment_after_geocoding,Use as operator-network rule; venue-level claims require matching each Shenzhen project.,public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round1_liminal_venue_verification,RME_004,罗芳公园郊野径,罗湖区,City's first dog-friendly hiking trail in Luofang Park,https://www.sz.gov.cn/en_szgov/news/infocus/park/mtbd/content/post_12716537.html,2026-03-27,A_official_primary,explicit_positive_public_space_with_etiquette,dog_friendly_trail|information_boards|leash_required|waste_bags|water_bowl|pet_interpretive_design,"Government page describes a systematically designed dog-friendly trail with pet-friendly signage, safety and etiquette rules.",public_space_route,eligible_for_semantic_rule_alignment_after_route_geocoding,Route-level positive public-space rule; not a general park-wide allowance claim.,public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round1_liminal_venue_verification,RME_005,深圳机场宠物候机厅,宝安区,全国首家宠物候机厅在深圳机场启用,https://www.szairport.com/szairport/kgxw/202405/fce18f36cae4485d80d6ddc8fadc5824.shtml,2024-05-10,B_operator_primary,explicit_positive_transport_facility_service,pet_lounge|cat_dog_zoning|monitoring_system|one_stop_pet_transport|special_security_boarding_channel,Airport operator states that a pet waiting lounge and one-stop pet travel service were launched in the domestic cargo area.,transport_facility,eligible_for_semantic_rule_alignment_after_facility_geocoding,"Supports pet-transport service capability, not passenger-cabin access.",public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round1_liminal_venue_verification,RME_006,H239 宠物友好巴士线,宝安区|南山区,SZBG launches pet-friendly bus route,https://en.szbus.com.cn/news_details/5.html,2024-08-07,B_operator_primary,explicit_positive_scheduled_mobility,weekend_holiday_pet_bus|route_based_access|pet_owner_mobility,Bus operator states H239 was set as a pet-friendly route on weekends and holidays between Bao'an and Nanshan.,route,eligible_for_network_route_layer_after_stop_geocoding,Route and time-window specific access; not a citywide public-transport allowance.,public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round1_liminal_venue_verification,RME_007,云曦萌宠绿地小游园,宝安区,宝安区新安公园及尖岗山宠物公园开园,https://www.sz.gov.cn/cn/xxgk/zfxxgj/gqdt/content/post_11137987.html,2024-01-29,A_official_primary,explicit_positive_public_space_zoned,13000sqm_pet_friendly_space|1200sqm_play_area|size_zoning|pet_water_facility,Government page describes a large pet-friendly space with separate large/medium/small dog areas and pet facilities.,public_space,eligible_for_semantic_rule_alignment,"Specific park/open-space rule, not a district-wide access rule.",public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round1_liminal_venue_verification,RME_008,南山区社区宠物公园,南山区,南山区首个社区宠物公园开园,https://www.sz.gov.cn/cn/xxgk/zfxxgj/gqdt/content/post_10857958.html,2023-09-25,A_official_primary,explicit_positive_public_space_zoned,600sqm_pet_park|separated_pet_area|pet_toilet|training_facility|civilized_dog_ownership_signage,"Government page describes zoning between pet activity and ordinary leisure space, with equipment and conduct signage.",public_space,eligible_for_semantic_rule_alignment,Specific community pet park; not a general street-level tolerance claim.,public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round2_counterexample_and_control,RME_009,Grand Hyatt Shenzhen,罗湖区,Hotel Policies | Grand Hyatt Shenzhen,https://www.hyatt.com/grand-hyatt/en-US/shegh-grand-hyatt-shenzhen/policies,,B_operator_primary,explicit_restrictive_no_pets,pets_not_allowed|service_animals_not_allowed,"Operator policy page states that pets are not allowed, including service animals.",venue,eligible_as_restrictive_control_after_archive,Current web policy at access date; must re-check before submission.,public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round2_counterexample_and_control,RME_010,Park Hyatt Shenzhen,福田区,Hotel Policies | Park Hyatt Shenzhen,https://www.hyatt.com/park-hyatt/en-US/szxph-park-hyatt-shenzhen/policies,,B_operator_primary,restrictive_with_service_animal_exception,pets_not_allowed|service_animals_exception,Operator policy page states pets are not allowed except for service animals.,venue,eligible_as_restrictive_control_after_archive,Current web policy at access date; not evidence for surrounding venues.,public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
