candidate_id,event_name,event_year,design_family,recommended_treated_unit,candidate_outcomes,candidate_controls,main_risk,allowed_claim
PPR_001,景田北六街宠物公园,2023.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_002,洪湖东宠物乐园,2023.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_003,春天海社区公园,2023.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_004,四海公园宠物乐园,2023.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_005,灵芝街心宠物公园,2023.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_006,龙岗河干流宠物乐园,2023.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_007,龙华区宠物公园,2023.0,district_event_study_or_synthetic_control_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_008,坪山养犬教育科普基地,2023.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_009,光明区宠物公园,2023.0,district_event_study_or_synthetic_control_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_010,大鹏宠物公园,2023.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_011,深圳宠物公园通用提醒,2023.0,route_buffer_event_study_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_012,餐厅、商店、市场等经营场所,2025.0,matched_comparison_or_sensitivity_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_026,深圳机场宠物候机厅,2024.0,route_buffer_event_study_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_029,深圳养犬服务平台领养和寻宠功能,2022.0,matched_comparison_or_sensitivity_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_045,龙华政府英文报道宠物友好餐饮样本,2021.0,matched_comparison_or_sensitivity_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_081,沙井京基百纳广场年度报告规则证据,2025.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_082,福田绿谷公园周边宠物友好空间,2024.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
